"Date","Price","Open","High","Low","Vol.","Change-%"
"10-25-2018","219.48","217.59","220.25","216.89","16.14M","2.04%"
"10-24-2018","215.09","222.74","224.18","214.62","40.93M","-3.43%"
"10-23-2018","222.73","215.83","223.25","214.70","38.77M","0.94%"
"10-22-2018","220.65","219.79","223.36","218.94","28.79M","0.61%"
"10-19-2018","219.31","218.06","221.26","217.43","33.08M","1.52%"
"10-18-2018","216.02","217.86","219.74","213.00","32.58M","-2.34%"
"10-17-2018","221.19","222.30","222.64","219.34","22.89M","-0.43%"
"10-16-2018","222.15","218.93","222.99","216.76","29.18M","2.20%"
"10-15-2018","217.36","221.16","221.83","217.27","30.79M","-2.14%"
"10-12-2018","222.11","220.42","222.88","216.84","40.34M","3.57%"
"10-11-2018","214.45","214.52","219.50","212.32","53.12M","-0.88%"
"10-10-2018","216.36","225.46","226.35","216.05","41.99M","-4.63%"
"10-09-2018","226.87","223.64","227.27","222.25","26.89M","1.39%"
"10-08-2018","223.77","222.21","224.80","220.20","29.66M","-0.23%"
"10-05-2018","224.29","227.96","228.41","220.58","33.58M","-1.62%"
"10-04-2018","227.99","230.78","232.35","226.73","32.04M","-1.76%"
"10-03-2018","232.07","230.05","233.47","229.78","28.65M","1.22%"
"10-02-2018","229.28","227.25","230.00","226.63","24.79M","0.89%"
"10-01-2018","227.26","227.95","229.42","226.35","23.60M","0.67%"
"9-28-2018","225.74","224.79","225.84","224.02","22.93M","0.35%"
"9-27-2018","224.95","223.82","226.44","223.54","30.18M","2.06%"
"9-26-2018","220.42","221.00","223.75","219.76","23.98M","-0.80%"
"9-25-2018","222.19","219.75","222.82","219.70","24.55M","0.63%"
"9-24-2018","220.79","216.82","221.26","216.63","27.69M","1.44%"
"9-21-2018","217.66","220.78","221.36","217.29","96.25M","-1.08%"
"9-20-2018","220.03","220.24","222.28","219.15","26.61M","0.76%"
"9-19-2018","218.37","218.50","219.62","215.30","27.12M","0.06%"
"9-18-2018","218.24","217.79","221.85","217.12","31.57M","0.17%"
"9-17-2018","217.88","222.15","222.95","217.27","37.20M","-2.66%"
"9-14-2018","223.84","225.75","226.84","222.52","32.00M","-1.14%"
"9-13-2018","226.41","223.52","228.35","222.57","41.71M","2.42%"
"9-12-2018","221.07","224.94","225.00","219.84","49.28M","-1.24%"
"9-11-2018","223.85","218.01","224.30","216.56","35.75M","2.53%"
"9-10-2018","218.33","220.95","221.85","216.47","39.52M","-1.34%"
"9-07-2018","221.30","221.85","225.37","220.71","37.62M","-0.81%"
"9-06-2018","223.10","226.23","227.35","221.30","34.29M","-1.66%"
"9-05-2018","226.87","228.99","229.67","225.10","33.33M","-0.65%"
"9-04-2018","228.36","228.41","229.18","226.63","27.39M","0.32%"
"8-31-2018","227.63","226.51","228.87","226.00","43.34M","1.16%"
"8-30-2018","225.03","223.25","228.26","222.40","48.79M","0.92%"
"8-29-2018","222.98","220.15","223.49","219.41","27.25M","1.49%"
"8-28-2018","219.70","219.01","220.54","218.92","22.78M","0.81%"
"8-27-2018","217.94","217.15","218.74","216.33","20.53M","0.82%"
"8-24-2018","216.16","216.60","216.90","215.11","18.48M","0.31%"
"8-23-2018","215.49","214.65","217.05","214.60","18.88M","0.20%"
"8-22-2018","215.05","214.10","216.36","213.84","19.02M","0.00%"
"8-21-2018","215.04","216.80","217.19","214.03","26.16M","-0.19%"
"8-20-2018","215.46","218.10","219.18","215.11","30.29M","-0.97%"
"8-17-2018","217.58","213.44","217.95","213.16","35.43M","2.00%"
"8-16-2018","213.32","211.75","213.81","211.47","28.50M","1.46%"
"8-15-2018","210.24","209.22","210.74","208.33","28.81M","0.23%"
"8-14-2018","209.75","210.16","210.56","208.26","20.75M","0.42%"
"8-13-2018","208.87","207.70","210.95","207.70","25.89M","0.65%"
"8-10-2018","207.53","207.36","209.10","206.67","24.61M","-0.65%"
"8-09-2018","208.88","207.28","209.78","207.20","23.49M","0.79%"
"8-08-2018","207.25","206.05","207.81","204.52","22.53M","0.07%"
"8-07-2018","207.11","209.32","209.50","206.76","25.59M","-0.94%"
"8-06-2018","209.07","208.00","209.25","207.07","25.43M","0.52%"
"8-03-2018","207.99","207.03","208.74","205.48","33.45M","0.29%"
"8-02-2018","207.39","200.58","208.38","200.35","62.40M","2.92%"
"8-01-2018","201.50","199.13","201.76","197.31","67.94M","5.89%"
"7-31-2018","190.29","190.30","192.14","189.34","39.37M","0.20%"
"7-30-2018","189.91","191.90","192.20","189.07","21.03M","-0.56%"
"7-27-2018","190.98","194.99","195.19","190.10","24.02M","-1.66%"
"7-26-2018","194.21","194.61","195.96","193.61","19.08M","-0.31%"
"7-25-2018","194.82","193.06","194.85","192.43","16.83M","0.94%"
